scenario_id,split,seed,plant,mechanism,sg_tension,period_s,duration_s,nominal_warmup_s,capability_change_time_s,load_event_time_s,timing_relation,load_area,load_sign,initial_soc,known_ood,contract_violation,factor_assignment,source_scenario_id,condition,control_period_s,capability_mechanism,load_magnitude_pu,probe_eligible,contract_status,materiality_positive,method,physical_success,frequency_peak_hz,ace_iae_pu_s,tie_iae_pu_s,sg_mechanical_mileage_pu,bess_energy_throughput_pu_s,terminal_recovery,hard_violation,command_violation,normal1h,controller_calls,attempted_optimization_calls,solver_failure_calls,fallback_calls,restoration_calls,p99_solve_time_s,full_rolling,certificate_issues,certificate_revocations,probe_active_calls,probe_command_l1_pu_s,certified_surplus_l1_pu_s,ordinary_controller_truth_read,evaluation_only_truth_read,candidate_id,voi_worthwhile_calls,ever_probe_worthwhile,candidate_diameter_reduction,minimum_candidate_diameter_reduction,unmetered_responsibility_jump_pu,passive_renewals,probe_aborts_on_change,passive_candidate_reductions
VOI-M1-03,development,213,A_full_nonlinear,power_drop,high,2.0,300.0,60.0,123.65829276631412,123.65829276631412,simultaneous,area1,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,A1-D-007,known,2.0,power_drop,0.0558,True,WITHIN_CONTRACT,True,accr_mpc,True,0.24010026978575866,0.7929291440346593,0.14599645770150327,0.16662167485758864,1.2436443105797779,True,False,False,False,151,159,0,0,0,0.2737453000045207,True,1,1,3,0.02,0.0,False,False,M1-C13,1.0,True,0.5,0.5,2.168404344971009e-18,0.0,0.0,0.0
VOI-M1-03,development,213,A_full_nonlinear,power_drop,high,2.0,300.0,60.0,123.65829276631412,123.65829276631412,simultaneous,area1,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,A1-D-007,known,2.0,power_drop,0.0558,True,WITHIN_CONTRACT,True,perfect_capability_recourse_oracle,True,0.2401058942213335,0.7950652145847639,0.14813545174203904,0.1620201203778379,1.2431593807006438,True,False,False,False,151,151,0,0,0,0.15904340000270167,True,0,0,0,0.0,0.0,False,True,M1-C13,,,,,,,,
VOI-M1-04,development,218,A_full_nonlinear,ramp_drop,low,2.0,300.0,60.0,104.32450465012673,90.32450465012673,before,area0,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,A1-D-012,known,2.0,ramp_drop,0.0744,True,WITHIN_CONTRACT,True,contract_only_recourse_mpc,True,0.3133694528776074,1.0960224277893407,0.17790131005267878,0.22209739770400294,2.3144901848083492,True,False,False,False,151,151,0,0,0,0.1625895999968634,True,0,0,0,0.0,0.0,False,False,M1-C13,,,,,,,,
VOI-M1-04,development,218,A_full_nonlinear,ramp_drop,low,2.0,300.0,60.0,104.32450465012673,90.32450465012673,before,area0,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,A1-D-012,known,2.0,ramp_drop,0.0744,True,WITHIN_CONTRACT,True,accr_mpc,True,0.3133694528776074,1.078754737614315,0.17052345238236857,0.21573081939696287,2.999626934299026,True,False,False,False,151,163,0,0,0,0.3669509499995911,True,1,1,3,0.02,0.0,False,False,M1-C13,1.0,True,0.5,0.5,2.168404344971009e-18,0.0,0.0,0.0
VOI-M1-04,development,218,A_full_nonlinear,ramp_drop,low,2.0,300.0,60.0,104.32450465012673,90.32450465012673,before,area0,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,A1-D-012,known,2.0,ramp_drop,0.0744,True,WITHIN_CONTRACT,True,perfect_capability_recourse_oracle,True,0.3161496223640925,1.0887242832250614,0.16825819104111708,0.20682068814115365,3.171533462974039,True,False,False,False,151,151,0,0,0,0.20790264999959618,True,0,0,0,0.0,0.0,False,True,M1-C13,,,,,,,,
VOI-M1-05,development,219,A_full_nonlinear,ramp_drop,low,2.0,300.0,60.0,100.2742929540174,100.2742929540174,simultaneous,area1,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,A1-D-013,known,2.0,ramp_drop,0.0744,True,WITHIN_CONTRACT,True,contract_only_recourse_mpc,True,0.3188054354511917,1.0980366525137348,0.20719431787361156,0.22565624411887328,2.3316845195207963,True,False,False,False,151,151,0,0,0,0.21753465000074357,True,0,0,0,0.0,0.0,False,False,M1-C13,,,,,,,,
VOI-M1-05,development,219,A_full_nonlinear,ramp_drop,low,2.0,300.0,60.0,100.2742929540174,100.2742929540174,simultaneous,area1,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,A1-D-013,known,2.0,ramp_drop,0.0744,True,WITHIN_CONTRACT,True,accr_mpc,True,0.3188054354511917,1.103156332341737,0.20702413067325268,0.22980286795040403,2.3414719490583265,True,False,False,False,151,155,0,0,0,0.24190295000153128,True,1,1,3,0.02,0.0,False,False,M1-C13,1.0,True,0.5,0.5,2.168404344971009e-18,0.0,0.0,0.0
VOI-M1-05,development,219,A_full_nonlinear,ramp_drop,low,2.0,300.0,60.0,100.2742929540174,100.2742929540174,simultaneous,area1,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,A1-D-013,known,2.0,ramp_drop,0.0744,True,WITHIN_CONTRACT,True,perfect_capability_recourse_oracle,True,0.3188058144605976,1.0980625796136259,0.20721119237151886,0.22567099987954153,2.331626943992346,True,False,False,False,151,151,0,0,0,0.1561303999988013,True,0,0,0,0.0,0.0,False,True,M1-C13,,,,,,,,
VOI-M1-06,development,224,A_full_nonlinear,ramp_drop,high,2.0,300.0,60.0,126.381136084737,112.381136084737,before,area0,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,A1-D-018,known,2.0,ramp_drop,0.0558,True,WITHIN_CONTRACT,False,contract_only_recourse_mpc,True,0.23447776587208038,0.8192730400942525,0.1321343612935202,0.16422430996404905,1.2666490142944768,True,False,False,False,151,151,0,0,0,0.17767384999751812,True,0,0,0,0.0,0.0,False,False,M1-C13,,,,,,,,
VOI-M1-06,development,224,A_full_nonlinear,ramp_drop,high,2.0,300.0,60.0,126.381136084737,112.381136084737,before,area0,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,A1-D-018,known,2.0,ramp_drop,0.0558,True,WITHIN_CONTRACT,False,accr_mpc,True,0.23447776587208038,0.809822311205728,0.12805982462035861,0.1622060578964858,1.7157109399336063,True,False,False,False,151,163,0,0,0,0.44273175000125775,True,1,1,3,0.02,0.0,False,False,M1-C13,1.0,True,0.5,0.5,2.168404344971009e-18,0.0,0.0,0.0
VOI-M1-06,development,224,A_full_nonlinear,ramp_drop,high,2.0,300.0,60.0,126.381136084737,112.381136084737,before,area0,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,A1-D-018,known,2.0,ramp_drop,0.0558,True,WITHIN_CONTRACT,False,perfect_capability_recourse_oracle,True,0.23667351971325112,0.8176474043649749,0.1270409369695366,0.15570103110565847,1.8136433355720727,True,False,False,False,151,151,0,0,0,0.2761697499990987,True,0,0,0,0.0,0.0,False,True,M1-C13,,,,,,,,
VOI-M1-07,development,225,A_full_nonlinear,ramp_drop,high,2.0,300.0,60.0,124.95199929525988,124.95199929525988,simultaneous,area1,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,A1-D-019,known,2.0,ramp_drop,0.0558,True,WITHIN_CONTRACT,False,contract_only_recourse_mpc,True,0.23634811170694497,0.776033368968159,0.16489252785196648,0.1782553140148967,1.2350923760056265,True,False,False,False,151,151,0,0,0,0.18418765000023996,True,0,0,0,0.0,0.0,False,False,M1-C13,,,,,,,,
VOI-M1-07,development,225,A_full_nonlinear,ramp_drop,high,2.0,300.0,60.0,124.95199929525988,124.95199929525988,simultaneous,area1,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,A1-D-019,known,2.0,ramp_drop,0.0558,True,WITHIN_CONTRACT,False,accr_mpc,True,0.23634811170694497,0.7787821081748402,0.16784386146404673,0.18066588954654242,1.2361144716427583,True,False,False,False,151,159,0,0,0,0.15587474999483675,True,1,1,3,0.02,0.0,False,False,M1-C13,1.0,True,0.5,0.5,2.168404344971009e-18,0.0,0.0,0.0
VOI-M1-07,development,225,A_full_nonlinear,ramp_drop,high,2.0,300.0,60.0,124.95199929525988,124.95199929525988,simultaneous,area1,1.0,0.5,known,False,VOI_M1_CROSSED_DEVELOPMENT,A1-D-019,known,2.0,ramp_drop,0.0558,True,WITHIN_CONTRACT,False,perfect_capability_recourse_oracle,True,0.23634987816017627,0.7760519013281209,0.16489662375037692,0.17827317250352245,1.2350678333503124,True,False,False,False,151,151,0,0,0,0.0878533499999321,True,0,0,0,0.0,0.0,False,True,M1-C13,,,,,,,,
