method,reference,scenario,partition,seed,sg_level,both_success,method_only_failure,reference_only_failure,both_failure
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,rapid_repeated_switches,ood_extreme,6044,critical,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,rapid_repeated_switches,ood_extreme,6045,adequate,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,rapid_repeated_switches,ood_extreme,6046,scarce,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,rapid_repeated_switches,ood_extreme,6047,critical,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,rapid_repeated_switches,ood_extreme,6048,adequate,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,rapid_repeated_switches,ood_extreme,6049,scarce,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,recovery_repeated,known,5000,critical,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,recovery_repeated,known,5001,adequate,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,recovery_repeated,known,5002,scarce,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,recovery_repeated,known,5003,critical,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,recovery_repeated,known,5004,adequate,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,recovery_repeated,known,5005,scarce,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,recovery_repeated,known,5006,critical,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,recovery_repeated,known,5007,adequate,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,recovery_repeated,known,5008,scarce,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,recovery_repeated,known,5009,critical,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,recovery_repeated,known,5010,adequate,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,recovery_repeated,known,5011,scarce,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,recovery_repeated,known,5012,critical,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,recovery_repeated,known,5013,adequate,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,recovery_repeated,known,5014,scarce,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,recovery_repeated,known,5015,critical,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,recovery_repeated,known,5016,adequate,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,recovery_repeated,known,5017,scarce,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,recovery_repeated,known,5018,critical,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,recovery_repeated,known,5019,adequate,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,recovery_repeated,known,5020,scarce,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,recovery_repeated,known,5021,critical,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,recovery_repeated,known,5022,adequate,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,recovery_repeated,known,5023,scarce,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,recovery_repeated,known,5024,critical,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,recovery_repeated,known,5025,adequate,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,recovery_repeated,known,5026,scarce,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,recovery_repeated,known,5027,critical,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,recovery_repeated,known,5028,adequate,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,recovery_repeated,known,5029,scarce,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_after_load_disable,known,5000,critical,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_after_load_disable,known,5001,adequate,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_after_load_disable,known,5002,scarce,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_after_load_disable,known,5003,critical,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_after_load_disable,known,5004,adequate,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_after_load_disable,known,5005,scarce,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_after_load_disable,known,5006,critical,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_after_load_disable,known,5007,adequate,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_after_load_disable,known,5008,scarce,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_after_load_disable,known,5009,critical,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_after_load_disable,known,5010,adequate,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_after_load_disable,known,5011,scarce,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_after_load_disable,known,5012,critical,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_after_load_disable,known,5013,adequate,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_after_load_disable,known,5014,scarce,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_after_load_disable,known,5015,critical,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_after_load_disable,known,5016,adequate,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_after_load_disable,known,5017,scarce,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_after_load_disable,known,5018,critical,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_after_load_disable,known,5019,adequate,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_after_load_disable,known,5020,scarce,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_after_load_disable,known,5021,critical,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_after_load_disable,known,5022,adequate,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_after_load_disable,known,5023,scarce,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_after_load_disable,known,5024,critical,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_after_load_disable,known,5025,adequate,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_after_load_disable,known,5026,scarce,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_after_load_disable,known,5027,critical,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_after_load_disable,known,5028,adequate,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_after_load_disable,known,5029,scarce,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_before_load_energy,known,5000,critical,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_before_load_energy,known,5001,adequate,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_before_load_energy,known,5002,scarce,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_before_load_energy,known,5003,critical,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_before_load_energy,known,5004,adequate,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_before_load_energy,known,5005,scarce,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_before_load_energy,known,5006,critical,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_before_load_energy,known,5007,adequate,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_before_load_energy,known,5008,scarce,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_before_load_energy,known,5009,critical,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_before_load_energy,known,5010,adequate,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_before_load_energy,known,5011,scarce,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_before_load_energy,known,5012,critical,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_before_load_energy,known,5013,adequate,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_before_load_energy,known,5014,scarce,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_before_load_energy,known,5015,critical,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_before_load_energy,known,5016,adequate,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_before_load_energy,known,5017,scarce,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_before_load_energy,known,5018,critical,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_before_load_energy,known,5019,adequate,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_before_load_energy,known,5020,scarce,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_before_load_energy,known,5021,critical,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_before_load_energy,known,5022,adequate,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_before_load_energy,known,5023,scarce,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_before_load_energy,known,5024,critical,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_before_load_energy,known,5025,adequate,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_before_load_energy,known,5026,scarce,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_before_load_energy,known,5027,critical,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_before_load_energy,known,5028,adequate,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,regime_before_load_energy,known,5029,scarce,True,False,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,structural_ood_coincident,ood_extreme,6000,adequate,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,structural_ood_coincident,ood_extreme,6001,scarce,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,structural_ood_coincident,ood_extreme,6002,critical,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,structural_ood_coincident,ood_extreme,6003,adequate,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,structural_ood_coincident,ood_extreme,6004,scarce,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,structural_ood_coincident,ood_extreme,6005,critical,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,structural_ood_coincident,ood_extreme,6006,adequate,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,structural_ood_coincident,ood_extreme,6007,scarce,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,structural_ood_coincident,ood_extreme,6008,critical,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,structural_ood_coincident,ood_extreme,6009,adequate,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,structural_ood_coincident,ood_extreme,6010,scarce,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,structural_ood_coincident,ood_extreme,6011,critical,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,structural_ood_coincident,ood_extreme,6012,adequate,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,structural_ood_coincident,ood_extreme,6013,scarce,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,structural_ood_coincident,ood_extreme,6014,critical,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,structural_ood_coincident,ood_extreme,6015,adequate,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,structural_ood_coincident,ood_extreme,6016,scarce,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,structural_ood_coincident,ood_extreme,6017,critical,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,structural_ood_coincident,ood_extreme,6018,adequate,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,structural_ood_coincident,ood_extreme,6019,scarce,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,structural_ood_coincident,ood_extreme,6020,critical,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,structural_ood_coincident,ood_extreme,6021,adequate,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,structural_ood_coincident,ood_extreme,6022,scarce,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,structural_ood_coincident,ood_extreme,6023,critical,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,structural_ood_coincident,ood_extreme,6024,adequate,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,structural_ood_coincident,ood_extreme,6025,scarce,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,structural_ood_coincident,ood_extreme,6026,critical,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,structural_ood_coincident,ood_extreme,6027,adequate,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,structural_ood_coincident,ood_extreme,6028,scarce,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,structural_ood_coincident,ood_extreme,6029,critical,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,structural_ood_coincident,ood_extreme,6030,adequate,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,structural_ood_coincident,ood_extreme,6031,scarce,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,structural_ood_coincident,ood_extreme,6032,critical,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,structural_ood_coincident,ood_extreme,6033,adequate,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,structural_ood_coincident,ood_extreme,6034,scarce,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,structural_ood_coincident,ood_extreme,6035,critical,False,True,False,False
O1_truth_regime_identified_MPC,O0_conventional_ACE_PI,structural_ood_coincident,ood_extreme,6036,adequate,False,True,False,False
