scenario_id,split,seed,design_cell,plant,mechanism,capability_mechanism,sg_tension,period_s,control_period_s,condition,known_ood,duration_s,capability_change_time_s,load_event_time_s,load_area,load_sign,load_magnitude_pu,timing_relation,initial_soc,initial_soc_area1,initial_soc_area2,value_region,contract_violation,contract_status,factor_assignment,method,physical_success,frequency_peak_hz,ace_iae_pu_s,tie_iae_pu_s,sg_mechanical_mileage_pu,bess_energy_throughput_pu_s,terminal_recovery,hard_violation,command_violation,normal1h,controller_calls,attempted_optimization_calls,solver_failure_calls,fallback_calls,restoration_calls,p99_solve_time_s,full_rolling,certificate_issues,certificate_revocations,probe_active_calls,probe_command_l1_pu_s,certified_surplus_l1_pu_s,ordinary_controller_truth_read,evaluation_only_truth_read,voi_decision_calls,voi_worthwhile_calls,voi_abstention_calls,voi_probe_triggers,candidate_diameter_reduction_mean,candidate_diameter_reduction_max,passive_certificate_renewals,maximum_unmetered_responsibility_jump_pu,probe_aborts_on_change
D5-M1R1-005,development_r1,5605,A_full_nonlinear|power_drop|high|2,A_full_nonlinear,power_drop,power_drop,high,2.0,2.0,OOD,OOD,300.0,109.14798278214909,123.14798278214909,both,1,0.02,after,0.55,0.55,0.55,LOW_VALUE_CONTROL,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,contract_only_recourse_mpc,True,0.0766143359625522,0.2482296646067631,0.0088655893997531,0.078377635559499,0.035113063958311,True,False,False,False,151,151,0,0,0,0.0714620500002638,True,0,0,0,0.0,0.0,False,False,0,0,0,0,0.0,0.0,0,0.0,0
D5-M1R1-005,development_r1,5605,A_full_nonlinear|power_drop|high|2,A_full_nonlinear,power_drop,power_drop,high,2.0,2.0,OOD,OOD,300.0,109.14798278214909,123.14798278214909,both,1,0.02,after,0.55,0.55,0.55,LOW_VALUE_CONTROL,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,perfect_capability_recourse_oracle,True,0.0766121474708504,0.2482082640881853,0.0088725163779122,0.0783836708137867,0.035147414345258,True,False,False,False,151,151,0,0,0,0.0744623500031593,True,0,0,0,0.0,0.0,False,True,0,0,0,0,0.0,0.0,0,0.0,0
D5-M1R1-006,development_r1,5606,A_full_nonlinear|power_drop|high|4,A_full_nonlinear,power_drop,power_drop,high,4.0,4.0,OOD,OOD,300.0,117.1909914108758,103.1909914108758,area0,1,0.0558,before,0.45,0.45,0.45,HIGH_VALUE_CANDIDATE,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,contract_only_recourse_mpc,True,0.2349625722236182,0.9689680214597078,0.2013883406902199,0.2198053106930063,1.1389428363341585,True,False,False,False,76,76,0,0,0,0.0776162000020121,True,0,0,0,0.0,0.0,False,False,0,0,0,0,0.0,0.0,0,0.0,0
D5-M1R1-006,development_r1,5606,A_full_nonlinear|power_drop|high|4,A_full_nonlinear,power_drop,power_drop,high,4.0,4.0,OOD,OOD,300.0,117.1909914108758,103.1909914108758,area0,1,0.0558,before,0.45,0.45,0.45,HIGH_VALUE_CANDIDATE,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,perfect_capability_recourse_oracle,True,0.2313817291577026,0.9336204169616864,0.1880528308919387,0.2155235252768156,1.3530901759538334,True,False,False,False,76,76,0,0,0,0.07786932500494,True,0,0,0,0.0,0.0,False,True,0,0,0,0,0.0,0.0,0,0.0,0
D5-M1R1-007,development_r1,5607,A_full_nonlinear|power_drop|high|4,A_full_nonlinear,power_drop,power_drop,high,4.0,4.0,OOD,OOD,300.0,123.1657708329564,109.1657708329564,area1,1,0.02,before,0.55,0.55,0.55,LOW_VALUE_CONTROL,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,contract_only_recourse_mpc,True,0.0576599159620666,0.2701313943189647,0.1029255134992391,0.0950341791217076,0.0301103696876748,True,False,False,False,76,76,0,0,0,0.0723859000027005,True,0,0,0,0.0,0.0,False,False,0,0,0,0,0.0,0.0,0,0.0,0
D5-M1R1-007,development_r1,5607,A_full_nonlinear|power_drop|high|4,A_full_nonlinear,power_drop,power_drop,high,4.0,4.0,OOD,OOD,300.0,123.1657708329564,109.1657708329564,area1,1,0.02,before,0.55,0.55,0.55,LOW_VALUE_CONTROL,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,perfect_capability_recourse_oracle,True,0.0576571891831754,0.2717251438165717,0.1031921023872506,0.0961608523633489,0.0298749075987529,True,False,False,False,76,76,0,0,0,0.0771857750005438,True,0,0,0,0.0,0.0,False,True,0,0,0,0,0.0,0.0,0,0.0,0
D5-M1R1-008,development_r1,5608,A_full_nonlinear|ramp_drop|low|2,A_full_nonlinear,ramp_drop,ramp_drop,low,2.0,2.0,OOD,OOD,300.0,125.05632385822338,125.05632385822338,both,1,0.0744,simultaneous,0.45,0.45,0.45,HIGH_VALUE_CANDIDATE,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,contract_only_recourse_mpc,True,0.4404300703792191,1.8556930393035531,0.0777174430078746,0.2603436275692712,2.896863340285622,True,False,False,False,151,151,0,0,0,0.0809779000010166,True,0,0,0,0.0,0.0,False,False,0,0,0,0,0.0,0.0,0,0.0,0
D5-M1R1-008,development_r1,5608,A_full_nonlinear|ramp_drop|low|2,A_full_nonlinear,ramp_drop,ramp_drop,low,2.0,2.0,OOD,OOD,300.0,125.05632385822338,125.05632385822338,both,1,0.0744,simultaneous,0.45,0.45,0.45,HIGH_VALUE_CANDIDATE,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,perfect_capability_recourse_oracle,True,0.4404362774762361,1.855767066982665,0.0777454335588062,0.2603631629759182,2.8968206175899813,True,False,False,False,151,151,0,0,0,0.0746909000008599,True,0,0,0,0.0,0.0,False,True,0,0,0,0,0.0,0.0,0,0.0,0
D5-M1R1-009,development_r1,5609,A_full_nonlinear|ramp_drop|low|2,A_full_nonlinear,ramp_drop,ramp_drop,low,2.0,2.0,OOD,OOD,300.0,102.70327430629102,102.70327430629102,area0,1,0.02,simultaneous,0.55,0.55,0.55,LOW_VALUE_CONTROL,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,contract_only_recourse_mpc,True,0.0525794343474971,0.1616650015370779,0.0254939548337025,0.0677525313046656,0.0197234800239057,True,False,False,False,151,151,0,0,0,0.0751366000004054,True,0,0,0,0.0,0.0,False,False,0,0,0,0,0.0,0.0,0,0.0,0
D5-M1R1-009,development_r1,5609,A_full_nonlinear|ramp_drop|low|2,A_full_nonlinear,ramp_drop,ramp_drop,low,2.0,2.0,OOD,OOD,300.0,102.70327430629102,102.70327430629102,area0,1,0.02,simultaneous,0.55,0.55,0.55,LOW_VALUE_CONTROL,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,perfect_capability_recourse_oracle,True,0.0525612962255271,0.1603826625863322,0.025451394647846,0.0667493606721048,0.0195817220939177,True,False,False,False,151,151,0,0,0,0.0761826500020106,True,0,0,0,0.0,0.0,False,True,0,0,0,0,0.0,0.0,0,0.0,0
D5-M1R1-010,development_r1,5610,A_full_nonlinear|ramp_drop|low|4,A_full_nonlinear,ramp_drop,ramp_drop,low,4.0,4.0,OOD,OOD,300.0,125.00876047108524,139.00876047108522,area1,1,0.0744,after,0.45,0.45,0.45,HIGH_VALUE_CANDIDATE,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,contract_only_recourse_mpc,True,0.3194235146542168,1.3068466438186666,0.2875269825640906,0.2997821774211829,1.5682170693993056,True,False,False,False,76,76,0,0,0,0.0698398750009801,True,0,0,0,0.0,0.0,False,False,0,0,0,0,0.0,0.0,0,0.0,0
D5-M1R1-010,development_r1,5610,A_full_nonlinear|ramp_drop|low|4,A_full_nonlinear,ramp_drop,ramp_drop,low,4.0,4.0,OOD,OOD,300.0,125.00876047108524,139.00876047108522,area1,1,0.0744,after,0.45,0.45,0.45,HIGH_VALUE_CANDIDATE,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,perfect_capability_recourse_oracle,True,0.319369921482853,1.3098419573405116,0.2875707021473083,0.3019712430567114,1.5687487756209848,True,False,False,False,76,76,0,0,0,0.0715970749970438,True,0,0,0,0.0,0.0,False,True,0,0,0,0,0.0,0.0,0,0.0,0
D5-M1R1-011,development_r1,5611,A_full_nonlinear|ramp_drop|low|4,A_full_nonlinear,ramp_drop,ramp_drop,low,4.0,4.0,OOD,OOD,300.0,114.00640977478967,128.0064097747897,both,1,0.02,after,0.55,0.55,0.55,LOW_VALUE_CONTROL,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,contract_only_recourse_mpc,True,0.0695689863721691,0.4160446370923788,0.0217468457433596,0.1192685484849283,0.0489950801894905,True,False,False,False,76,76,0,0,0,0.0773857500007579,True,0,0,0,0.0,0.0,False,False,0,0,0,0,0.0,0.0,0,0.0,0
D5-M1R1-011,development_r1,5611,A_full_nonlinear|ramp_drop|low|4,A_full_nonlinear,ramp_drop,ramp_drop,low,4.0,4.0,OOD,OOD,300.0,114.00640977478967,128.0064097747897,both,1,0.02,after,0.55,0.55,0.55,LOW_VALUE_CONTROL,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,perfect_capability_recourse_oracle,True,0.0695562073098513,0.417680046452009,0.0218110466455762,0.1205165402951933,0.0492039806851298,True,False,False,False,76,76,0,0,0,0.0804605249995802,True,0,0,0,0.0,0.0,False,True,0,0,0,0,0.0,0.0,0,0.0,0
D5-M1R1-012,development_r1,5612,A_full_nonlinear|ramp_drop|high|2,A_full_nonlinear,ramp_drop,ramp_drop,high,2.0,2.0,known,known,300.0,125.946006052562,111.946006052562,area0,1,0.0558,before,0.45,0.45,0.45,HIGH_VALUE_CANDIDATE,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,contract_only_recourse_mpc,True,0.2371569944132405,0.8184452663530843,0.1278726116384856,0.1592558525131003,1.2751782619292606,True,False,False,False,151,151,0,0,0,0.0766986500020721,True,0,0,0,0.0,0.0,False,False,0,0,0,0,0.0,0.0,0,0.0,0
D5-M1R1-012,development_r1,5612,A_full_nonlinear|ramp_drop|high|2,A_full_nonlinear,ramp_drop,ramp_drop,high,2.0,2.0,known,known,300.0,125.946006052562,111.946006052562,area0,1,0.0558,before,0.45,0.45,0.45,HIGH_VALUE_CANDIDATE,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,perfect_capability_recourse_oracle,True,0.2371728330534263,0.8193574860286443,0.1227258011936407,0.1500848184152072,1.815178330398761,True,False,False,False,151,151,0,0,0,0.073545950002881,True,0,0,0,0.0,0.0,False,True,0,0,0,0,0.0,0.0,0,0.0,0
D5-M1R1-013,development_r1,5613,A_full_nonlinear|ramp_drop|high|2,A_full_nonlinear,ramp_drop,ramp_drop,high,2.0,2.0,known,known,300.0,107.0134598344558,93.0134598344558,area1,1,0.02,before,0.55,0.55,0.55,LOW_VALUE_CONTROL,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,contract_only_recourse_mpc,True,0.0616379994976139,0.165887468928664,0.0327748354604431,0.0584337258894021,0.0201021535060822,True,False,False,False,151,151,0,0,0,0.0772166999995533,True,0,0,0,0.0,0.0,False,False,0,0,0,0,0.0,0.0,0,0.0,0
D5-M1R1-013,development_r1,5613,A_full_nonlinear|ramp_drop|high|2,A_full_nonlinear,ramp_drop,ramp_drop,high,2.0,2.0,known,known,300.0,107.0134598344558,93.0134598344558,area1,1,0.02,before,0.55,0.55,0.55,LOW_VALUE_CONTROL,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,perfect_capability_recourse_oracle,True,0.0610796539730228,0.1657773612915035,0.0320309363796238,0.0570042240832265,0.021560046756173,True,False,False,False,151,151,0,0,0,0.0767151500003819,True,0,0,0,0.0,0.0,False,True,0,0,0,0,0.0,0.0,0,0.0,0
D5-M1R1-014,development_r1,5614,A_full_nonlinear|ramp_drop|high|4,A_full_nonlinear,ramp_drop,ramp_drop,high,4.0,4.0,known,known,300.0,117.74923944510137,117.74923944510137,both,1,0.0558,simultaneous,0.45,0.45,0.45,HIGH_VALUE_CANDIDATE,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,contract_only_recourse_mpc,True,0.3402723156005903,1.73306827445617,0.0672973179197067,0.2843393585563087,1.5394213400296028,True,False,False,False,76,76,0,0,0,0.0716795499974978,True,0,0,0,0.0,0.0,False,False,0,0,0,0,0.0,0.0,0,0.0,0
D5-M1R1-014,development_r1,5614,A_full_nonlinear|ramp_drop|high|4,A_full_nonlinear,ramp_drop,ramp_drop,high,4.0,4.0,known,known,300.0,117.74923944510137,117.74923944510137,both,1,0.0558,simultaneous,0.45,0.45,0.45,HIGH_VALUE_CANDIDATE,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,perfect_capability_recourse_oracle,True,0.3402715821521285,1.733010881864035,0.0672963178212299,0.284325540889155,1.5394715051070509,True,False,False,False,76,76,0,0,0,0.07404939999833,True,0,0,0,0.0,0.0,False,True,0,0,0,0,0.0,0.0,0,0.0,0
D5-M1R1-015,development_r1,5615,A_full_nonlinear|ramp_drop|high|4,A_full_nonlinear,ramp_drop,ramp_drop,high,4.0,4.0,known,known,300.0,116.79932569910372,116.79932569910372,area0,1,0.02,simultaneous,0.55,0.55,0.55,LOW_VALUE_CONTROL,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,contract_only_recourse_mpc,True,0.0551292062333588,0.2769674999257401,0.0859665494556137,0.1001635362562296,0.032206597350345,True,False,False,False,76,76,0,0,0,0.0759461500001634,True,0,0,0,0.0,0.0,False,False,0,0,0,0,0.0,0.0,0,0.0,0
D5-M1R1-015,development_r1,5615,A_full_nonlinear|ramp_drop|high|4,A_full_nonlinear,ramp_drop,ramp_drop,high,4.0,4.0,known,known,300.0,116.79932569910372,116.79932569910372,area0,1,0.02,simultaneous,0.55,0.55,0.55,LOW_VALUE_CONTROL,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,perfect_capability_recourse_oracle,True,0.055125359943971,0.2782866177199035,0.0860722583247596,0.1012936642258573,0.0324493200247366,True,False,False,False,76,76,0,0,0,0.0855173749969253,True,0,0,0,0.0,0.0,False,True,0,0,0,0,0.0,0.0,0,0.0,0
D5-M1R1-000,development_r1,5600,A_full_nonlinear|power_drop|low|2,A_full_nonlinear,power_drop,power_drop,low,2.0,2.0,known,known,300.0,115.61653739177687,101.61653739177687,area0,1,0.0744,before,0.45,0.45,0.45,HIGH_VALUE_CANDIDATE,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,voi_accr_mpc,True,0.3169436884302213,1.076118019900515,0.1865269299567826,0.2196537846417879,2.525240031214182,True,False,False,False,151,155,0,0,0,0.0766319000031217,True,1,1,3,0.02,0.0,False,False,151,1,148,1,0.5,0.5,0,1.3010426069826053e-18,0
D5-M1R1-001,development_r1,5601,A_full_nonlinear|power_drop|low|2,A_full_nonlinear,power_drop,power_drop,low,2.0,2.0,known,known,300.0,120.20945073387377,106.20945073387377,area1,1,0.02,before,0.55,0.55,0.55,LOW_VALUE_CONTROL,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,voi_accr_mpc,True,0.0558016454905429,0.1497556676354891,0.0255554341209255,0.0662031002764906,0.0188128227248081,True,False,False,False,151,151,0,0,0,0.0742303500046546,True,0,0,0,0.0,0.0,False,False,151,0,151,0,0.0,0.0,0,0.0,0
D5-M1R1-002,development_r1,5602,A_full_nonlinear|power_drop|low|4,A_full_nonlinear,power_drop,power_drop,low,4.0,4.0,known,known,300.0,119.5706417765794,119.5706417765794,both,1,0.0744,simultaneous,0.45,0.45,0.45,HIGH_VALUE_CANDIDATE,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,voi_accr_mpc,True,0.4533961778908812,2.396668174952458,0.0945090952003015,0.3765321092793224,2.454237563021769,True,False,False,False,76,80,0,0,0,0.121815600001355,True,1,1,3,0.04,0.0,False,False,76,1,73,1,0.5,0.5,0,2.1684043449710093e-18,0
D5-M1R1-003,development_r1,5603,A_full_nonlinear|power_drop|low|4,A_full_nonlinear,power_drop,power_drop,low,4.0,4.0,known,known,300.0,108.23547486343674,108.23547486343674,area0,1,0.02,simultaneous,0.55,0.55,0.55,LOW_VALUE_CONTROL,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,voi_accr_mpc,True,0.0525611848396354,0.2878872337623832,0.0699627757007528,0.0921865974875259,0.0343321859376596,True,False,False,False,76,76,0,0,0,0.0713536749990453,True,0,0,0,0.0,0.0,False,False,76,0,76,0,0.0,0.0,0,0.0,0
D5-M1R1-004,development_r1,5604,A_full_nonlinear|power_drop|high|2,A_full_nonlinear,power_drop,power_drop,high,2.0,2.0,OOD,OOD,300.0,124.6837621819832,138.6837621819832,area1,1,0.0558,after,0.45,0.45,0.45,HIGH_VALUE_CANDIDATE,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,voi_accr_mpc,True,0.2375525376255394,0.8173910947755296,0.1653228731780406,0.1797606096102997,1.0041937107339145,True,False,False,False,151,155,0,0,0,0.0819406000009621,True,1,1,3,0.02,0.0,False,False,151,1,148,1,0.5,0.5,0,2.1684043449710093e-18,0
D5-M1R1-005,development_r1,5605,A_full_nonlinear|power_drop|high|2,A_full_nonlinear,power_drop,power_drop,high,2.0,2.0,OOD,OOD,300.0,109.14798278214909,123.14798278214909,both,1,0.02,after,0.55,0.55,0.55,LOW_VALUE_CONTROL,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,voi_accr_mpc,True,0.0766143359625522,0.2482296646067631,0.0088655893997531,0.078377635559499,0.035113063958311,True,False,False,False,151,151,0,0,0,0.071219249999558,True,0,0,0,0.0,0.0,False,False,151,0,151,0,0.0,0.0,0,0.0,0
D5-M1R1-006,development_r1,5606,A_full_nonlinear|power_drop|high|4,A_full_nonlinear,power_drop,power_drop,high,4.0,4.0,OOD,OOD,300.0,117.1909914108758,103.1909914108758,area0,1,0.0558,before,0.45,0.45,0.45,HIGH_VALUE_CANDIDATE,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,voi_accr_mpc,True,0.2349625722236182,0.9726366034785724,0.2055797756474545,0.226994679926771,1.1932948777225827,True,False,False,False,76,80,0,0,0,0.1142863749973912,True,1,1,3,0.04,0.0,False,False,76,1,73,1,0.5,0.5,0,2.1684043449710093e-18,0
D5-M1R1-007,development_r1,5607,A_full_nonlinear|power_drop|high|4,A_full_nonlinear,power_drop,power_drop,high,4.0,4.0,OOD,OOD,300.0,123.1657708329564,109.1657708329564,area1,1,0.02,before,0.55,0.55,0.55,LOW_VALUE_CONTROL,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,voi_accr_mpc,True,0.0576599159620666,0.2701313943189647,0.1029255134992391,0.0950341791217076,0.0301103696876748,True,False,False,False,76,76,0,0,0,0.0771909750001214,True,0,0,0,0.0,0.0,False,False,76,0,76,0,0.0,0.0,0,0.0,0
D5-M1R1-008,development_r1,5608,A_full_nonlinear|ramp_drop|low|2,A_full_nonlinear,ramp_drop,ramp_drop,low,2.0,2.0,OOD,OOD,300.0,125.05632385822338,125.05632385822338,both,1,0.0744,simultaneous,0.45,0.45,0.45,HIGH_VALUE_CANDIDATE,False,WITHIN_CONTRACT,M1_R1_NEW_DEVELOPMENT_FULL_FACTORIAL,voi_accr_mpc,True,0.4431820771984857,1.8759977507590355,0.0756689884838422,0.2619971081703611,2.603369931995215,True,False,False,False,151,155,0,0,0,0.0769538499989721,True,1,1,3,0.02,0.0,False,False,151,1,148,1,0.5,0.5,0,1.3010426069826053e-18,0
