scenario_id,split,seed,plant,mechanism,sg_tension,period_s,duration_s,nominal_warmup_s,capability_change_time_s,load_event_time_s,timing_relation,load_area,load_sign,initial_soc,known_ood,contract_violation,factor_assignment,source_scenario_id,condition,control_period_s,capability_mechanism,load_magnitude_pu,value_region_design,probe_eligible,contract_status,materiality_positive,method,physical_success,frequency_peak_hz,ace_iae_pu_s,tie_iae_pu_s,sg_mechanical_mileage_pu,bess_energy_throughput_pu_s,terminal_recovery,hard_violation,command_violation,normal1h,controller_calls,attempted_optimization_calls,solver_failure_calls,fallback_calls,restoration_calls,p99_solve_time_s,full_rolling,certificate_issues,certificate_revocations,probe_active_calls,probe_command_l1_pu_s,certified_surplus_l1_pu_s,ordinary_controller_truth_read,evaluation_only_truth_read,candidate_id,voi_worthwhile_calls,ever_probe_worthwhile,candidate_diameter_reduction,minimum_candidate_diameter_reduction,unmetered_responsibility_jump_pu,passive_renewals,probe_aborts_on_change,passive_candidate_reductions
VOI-M1-03,development,213,A_full_nonlinear,power_drop,high,2.0,300.0,60.0,123.65829276631412,109.65829276631412,before,area0,1.0,0.5,known,False,VOI_M1_VALUE_REGION_CROSSED_NOT_SEED_MODULO,A1-D-007,known,2.0,power_drop,0.02,LOW_VALUE_CONTROL,True,WITHIN_CONTRACT,False,accr_mpc,True,0.058760247499733305,0.17778018476924,0.03681142137295809,0.07001008719072911,0.021215780573599442,True,False,False,False,151,151,0,0,0,0.19451300000218907,True,0,0,0,0.0,0.0,False,False,M1-C13,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0
VOI-M1-03,development,213,A_full_nonlinear,power_drop,high,2.0,300.0,60.0,123.65829276631412,109.65829276631412,before,area0,1.0,0.5,known,False,VOI_M1_VALUE_REGION_CROSSED_NOT_SEED_MODULO,A1-D-007,known,2.0,power_drop,0.02,LOW_VALUE_CONTROL,True,WITHIN_CONTRACT,False,perfect_capability_recourse_oracle,True,0.058790435297865845,0.17779946147001052,0.03682181211996887,0.0702056824558882,0.021625248281169566,True,False,False,False,151,151,0,0,0,0.08663400000295951,True,0,0,0,0.0,0.0,False,True,M1-C13,,,,,,,,
VOI-M1-04,development,218,A_full_nonlinear,ramp_drop,low,2.0,300.0,60.0,104.32450465012673,90.32450465012673,before,area0,1.0,0.5,known,False,VOI_M1_VALUE_REGION_CROSSED_NOT_SEED_MODULO,A1-D-012,known,2.0,ramp_drop,0.0744,HIGH_VALUE_CANDIDATE,True,WITHIN_CONTRACT,True,contract_only_recourse_mpc,True,0.3133694528776074,1.0960224277893407,0.17790131005267878,0.22209739770400294,2.3144901848083492,True,False,False,False,151,151,0,0,0,0.08355879999726312,True,0,0,0,0.0,0.0,False,False,M1-C13,,,,,,,,
VOI-M1-04,development,218,A_full_nonlinear,ramp_drop,low,2.0,300.0,60.0,104.32450465012673,90.32450465012673,before,area0,1.0,0.5,known,False,VOI_M1_VALUE_REGION_CROSSED_NOT_SEED_MODULO,A1-D-012,known,2.0,ramp_drop,0.0744,HIGH_VALUE_CANDIDATE,True,WITHIN_CONTRACT,True,accr_mpc,True,0.3133694528776074,1.0960224277893407,0.17790131005267878,0.22209739770400294,2.3144901848083492,True,False,False,False,151,155,0,0,0,0.17286389999935636,True,0,0,0,0.0,0.0,False,False,M1-C13,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0
VOI-M1-04,development,218,A_full_nonlinear,ramp_drop,low,2.0,300.0,60.0,104.32450465012673,90.32450465012673,before,area0,1.0,0.5,known,False,VOI_M1_VALUE_REGION_CROSSED_NOT_SEED_MODULO,A1-D-012,known,2.0,ramp_drop,0.0744,HIGH_VALUE_CANDIDATE,True,WITHIN_CONTRACT,True,perfect_capability_recourse_oracle,True,0.3161496223640925,1.0887242832250614,0.16825819104111708,0.20682068814115365,3.171533462974039,True,False,False,False,151,151,0,0,0,0.08595575000072131,True,0,0,0,0.0,0.0,False,True,M1-C13,,,,,,,,
VOI-M1-05,development,219,A_full_nonlinear,ramp_drop,low,2.0,300.0,60.0,100.2742929540174,86.2742929540174,before,area1,1.0,0.5,known,False,VOI_M1_VALUE_REGION_CROSSED_NOT_SEED_MODULO,A1-D-013,known,2.0,ramp_drop,0.02,LOW_VALUE_CONTROL,True,WITHIN_CONTRACT,False,contract_only_recourse_mpc,True,0.05578389036704775,0.14953837237583456,0.023825472295385453,0.06575731203892601,0.018395515879850367,True,False,False,False,151,151,0,0,0,0.08459974999641418,True,0,0,0,0.0,0.0,False,False,M1-C13,,,,,,,,
VOI-M1-05,development,219,A_full_nonlinear,ramp_drop,low,2.0,300.0,60.0,100.2742929540174,86.2742929540174,before,area1,1.0,0.5,known,False,VOI_M1_VALUE_REGION_CROSSED_NOT_SEED_MODULO,A1-D-013,known,2.0,ramp_drop,0.02,LOW_VALUE_CONTROL,True,WITHIN_CONTRACT,False,accr_mpc,True,0.05578389036704775,0.14953837237583456,0.023825472295385453,0.06575731203892601,0.018395515879850367,True,False,False,False,151,151,0,0,0,0.08985234999636305,True,0,0,0,0.0,0.0,False,False,M1-C13,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0
VOI-M1-05,development,219,A_full_nonlinear,ramp_drop,low,2.0,300.0,60.0,100.2742929540174,86.2742929540174,before,area1,1.0,0.5,known,False,VOI_M1_VALUE_REGION_CROSSED_NOT_SEED_MODULO,A1-D-013,known,2.0,ramp_drop,0.02,LOW_VALUE_CONTROL,True,WITHIN_CONTRACT,False,perfect_capability_recourse_oracle,True,0.0557841788045204,0.14877453380742922,0.023505185609820196,0.06597034377426005,0.02075804284709924,True,False,False,False,151,151,0,0,0,0.08419249999860767,True,0,0,0,0.0,0.0,False,True,M1-C13,,,,,,,,
VOI-M1-06,development,224,A_full_nonlinear,ramp_drop,high,2.0,300.0,60.0,126.381136084737,112.381136084737,before,area1,1.0,0.5,known,False,VOI_M1_VALUE_REGION_CROSSED_NOT_SEED_MODULO,A1-D-018,known,2.0,ramp_drop,0.0558,HIGH_VALUE_CANDIDATE,True,WITHIN_CONTRACT,True,contract_only_recourse_mpc,True,0.2382721997964611,0.810553777817035,0.14872911650582082,0.16217964162043685,1.3517508301106282,True,False,False,False,151,151,0,0,0,0.08468535000065458,True,0,0,0,0.0,0.0,False,False,M1-C13,,,,,,,,
VOI-M1-06,development,224,A_full_nonlinear,ramp_drop,high,2.0,300.0,60.0,126.381136084737,112.381136084737,before,area1,1.0,0.5,known,False,VOI_M1_VALUE_REGION_CROSSED_NOT_SEED_MODULO,A1-D-018,known,2.0,ramp_drop,0.0558,HIGH_VALUE_CANDIDATE,True,WITHIN_CONTRACT,True,accr_mpc,True,0.2382721997964611,0.810553777817035,0.14872911650582082,0.16217964162043685,1.3517508301106282,True,False,False,False,151,155,0,0,0,0.0840090500023507,True,0,0,0,0.0,0.0,False,False,M1-C13,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0
VOI-M1-06,development,224,A_full_nonlinear,ramp_drop,high,2.0,300.0,60.0,126.381136084737,112.381136084737,before,area1,1.0,0.5,known,False,VOI_M1_VALUE_REGION_CROSSED_NOT_SEED_MODULO,A1-D-018,known,2.0,ramp_drop,0.0558,HIGH_VALUE_CANDIDATE,True,WITHIN_CONTRACT,True,perfect_capability_recourse_oracle,True,0.2418041607103379,0.8068385670827909,0.13817302143253876,0.1565398529927418,1.9006785011916312,True,False,False,False,151,151,0,0,0,0.09088495000105468,True,0,0,0,0.0,0.0,False,True,M1-C13,,,,,,,,
VOI-M1-07,development,225,A_full_nonlinear,ramp_drop,high,2.0,300.0,60.0,124.95199929525988,110.95199929525988,before,area0,1.0,0.5,known,False,VOI_M1_VALUE_REGION_CROSSED_NOT_SEED_MODULO,A1-D-019,known,2.0,ramp_drop,0.02,LOW_VALUE_CONTROL,True,WITHIN_CONTRACT,False,contract_only_recourse_mpc,True,0.060447821215742055,0.17184460768679768,0.0295188823987017,0.055559069983519956,0.020622177011588333,True,False,False,False,151,151,0,0,0,0.08782025000255089,True,0,0,0,0.0,0.0,False,False,M1-C13,,,,,,,,
VOI-M1-07,development,225,A_full_nonlinear,ramp_drop,high,2.0,300.0,60.0,124.95199929525988,110.95199929525988,before,area0,1.0,0.5,known,False,VOI_M1_VALUE_REGION_CROSSED_NOT_SEED_MODULO,A1-D-019,known,2.0,ramp_drop,0.02,LOW_VALUE_CONTROL,True,WITHIN_CONTRACT,False,accr_mpc,True,0.060447821215742055,0.17184460768679768,0.0295188823987017,0.055559069983519956,0.020622177011588333,True,False,False,False,151,151,0,0,0,0.19850924999991548,True,0,0,0,0.0,0.0,False,False,M1-C13,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0
VOI-M1-07,development,225,A_full_nonlinear,ramp_drop,high,2.0,300.0,60.0,124.95199929525988,110.95199929525988,before,area0,1.0,0.5,known,False,VOI_M1_VALUE_REGION_CROSSED_NOT_SEED_MODULO,A1-D-019,known,2.0,ramp_drop,0.02,LOW_VALUE_CONTROL,True,WITHIN_CONTRACT,False,perfect_capability_recourse_oracle,True,0.06002139907583217,0.17204869057645994,0.029306182763324497,0.05482470700682704,0.021407454562933748,True,False,False,False,151,151,0,0,0,0.18350879999707104,True,0,0,0,0.0,0.0,False,True,M1-C13,,,,,,,,
